"Index","APPA.Close"
2012-12-31,0.54
2013-01-02,0.56
2013-01-03,0.56
2013-01-04,0.6
2013-01-07,0.61
2013-01-08,0.7
2013-01-09,0.66
2013-01-10,0.67
2013-01-11,0.68
2013-01-14,0.68
2013-01-15,0.66
2013-01-16,0.66
2013-01-17,0.65
2013-01-18,0.64
2013-01-22,0.72
2013-01-23,0.7
2013-01-24,0.71
2013-01-25,0.73
2013-01-28,0.79
2013-01-29,0.85
2013-01-30,0.79
2013-01-31,0.81
2013-02-01,0.78
2013-02-04,0.77
2013-02-05,0.75
2013-02-06,0.75
2013-02-07,0.75
2013-02-08,0.75
2013-02-11,0.73
2013-02-12,0.73
2013-02-13,0.69
2013-02-14,0.7
2013-02-15,0.72
2013-02-19,0.75
2013-02-20,0.72
2013-02-21,0.7
2013-02-22,0.71
2013-02-25,0.72
2013-02-26,0.7
2013-02-27,0.7
2013-02-28,0.7
2013-03-01,0.68
2013-03-04,0.68
2013-03-05,0.59
2013-03-06,0.58
2013-03-07,0.55
2013-03-08,0.55
2013-03-11,0.55
2013-03-12,0.62
2013-03-13,0.64
2013-03-14,0.64
2013-03-15,0.64
2013-03-18,0.62
2013-03-19,0.59
2013-03-20,0.63
2013-03-21,0.64
2013-03-22,0.62
2013-03-25,0.63
2013-03-26,0.61
2013-03-27,0.58
2013-03-28,0.37
2013-04-01,0.36
2013-04-02,0.37
2013-04-03,0.36
2013-04-04,0.36
2013-04-05,0.36
2013-04-08,0.36
2013-04-09,0.36
2013-04-10,0.36
2013-04-11,0.36
2013-04-12,0.36
2013-04-15,0.35
2013-04-16,0.33
2013-04-17,0.32
2013-04-18,0.32
2013-04-19,0.32
2013-04-22,0.31
2013-04-23,0.32
2013-04-24,0.34
2013-04-25,0.33
2013-04-26,0.36
2013-04-29,0.37
2013-04-30,0.36
2013-05-01,0.36
2013-05-02,0.41
2013-05-03,0.4
2013-05-06,0.4
2013-05-07,0.4
2013-05-08,0.42
2013-05-09,0.44
2013-05-10,0.45
2013-05-13,0.47
2013-05-14,0.48
2013-05-15,0.48
2013-05-16,0.48
2013-05-17,0.46
2013-05-20,0.44
2013-05-21,0.43
2013-05-22,0.44
2013-05-23,0.42
2013-05-24,0.42
2013-05-28,0.43
2013-05-29,0.42
2013-05-30,0.42
2013-05-31,0.41
2013-06-03,0.42
2013-06-04,0.42
2013-06-05,0.42
2013-06-06,0.42
2013-06-07,0.41
2013-06-10,0.42
2013-06-12,0.41
2013-06-13,0.4
2013-06-17,0.39
2013-06-18,0.42
2013-06-19,0.39
2013-06-20,0.38
2013-06-21,0.37
2013-06-24,0.36
2013-06-25,0.36
2013-06-26,0.36
2013-06-27,0.36
2013-06-28,0.36
2013-07-01,0.36
2013-07-02,0.36
2013-07-03,0.36
2013-07-05,0.39
2013-07-08,0.36
2013-07-09,0.36
2013-07-10,0.39
2013-07-11,0.42
2013-07-12,0.45
2013-07-15,0.45
2013-07-16,0.46
2013-07-17,0.45
2013-07-18,0.44
2013-07-19,0.44
2013-07-22,0.45
2013-07-23,0.47
2013-07-24,0.47
2013-07-25,0.47
2013-07-26,0.47
2013-07-29,0.47
2013-07-30,0.46
2013-07-31,0.46
2013-08-01,0.47
2013-08-02,0.47
2013-08-05,0.48
2013-08-06,0.45
2013-08-07,0.46
2013-08-08,0.43
2013-08-09,0.45
2013-08-12,0.44
2013-08-13,0.4
2013-08-14,0.38
2013-08-15,0.39
2013-08-16,0.39
2013-08-19,0.42
2013-08-20,0.42
2013-08-21,0.41
2013-08-22,0.41
2013-08-23,0.42
2013-08-26,0.41
2013-08-27,0.41
2013-08-28,0.42
2013-08-29,0.41
2013-08-30,0.41
2013-09-03,0.41
2013-09-04,0.41
2013-09-05,0.41
2013-09-06,0.4
2013-09-09,0.39
2013-09-11,0.36
2013-09-20,0.36
2013-09-23,0.34
2013-09-24,0.35
2013-09-25,0.35
2013-09-26,0.36
2013-09-27,0.34
2013-09-30,0.34
2013-10-01,0.35
2013-10-02,0.35
2013-10-03,0.35
2013-10-04,0.34
2013-10-07,0.34
2013-10-08,0.35
2013-10-09,0.35
2013-10-10,0.37
2013-10-11,0.36
2013-10-14,0.35
2013-10-15,0.4
2013-10-16,0.41
2013-10-17,0.42
2013-10-18,0.42
2013-10-21,0.43
2013-10-22,0.43
2013-10-23,0.42
2013-10-24,0.46
2013-10-25,0.46
2013-10-28,0.44
2013-10-29,0.46
2013-10-30,0.46
2013-10-31,0.46
2013-11-01,0.47
2013-11-04,0.46
